Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,JNJ,JNJ,JNJ,JNJ,JNJ,^OEX,^OEX,^OEX,^OEX,^OEX,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,180.7899932861328,183.0,179.9499969482422,180.97000122070312,29174500,149.972988921802,154.99896303730998,149.89336775564567,154.75015258789062,31730800,420.7377908946275,424.6479403829761,419.0208880059547,421.35308837890625,16316000,152.81749299293443,153.23411994075104,151.8970253866848,152.87562561035156,4364700,2480.75,2487.75,2467.610107421875,2477.139892578125,3325930000,170.38547862745995,170.4451942217802,168.68350825393796,169.23092651367188,46240500
2024-04-02,179.07000732421875,180.7899932861328,178.3800048828125,180.69000244140625,32611500,152.7696309813447,153.96391821888022,151.42604834775094,153.8245849609375,24586000,416.92688638600043,419.1797063812392,414.6740966771135,418.246826171875,17912000,151.70323202570017,152.92406123998146,151.1024938668883,152.82716369628906,6102300,2453.830078125,2462.5,2448.010009765625,2460.820068359375,3886590000,168.28537106183597,168.54414366405445,167.43935975957754,168.04649353027344,49329500
2024-04-03,179.89999389648438,182.8699951171875,179.8000030517578,182.41000366210938,31046600,152.8691500191665,154.34210366441846,152.00327930693646,154.182861328125,24705000,416.54979735190346,420.0530500088036,415.91463197146663,417.26434326171875,16502300,152.88530029729102,153.13722800366796,149.45534301464264,149.46502685546875,8098200,2454.409912109375,2471.860107421875,2454.409912109375,2462.25,3703250000,167.99673277562965,169.8778497555363,167.78772821512752,168.85269165039062,47691700
2024-04-04,184.0,185.10000610351562,180.0,180.0,41624300,152.7696206660751,154.03358204033015,149.73413005208545,149.81375122070312,34724700,421.76992047315406,425.4220608182633,414.4061573873391,414.71380615234375,19370900,150.48238753306327,150.666483994781,147.67253618907856,147.75973510742188,6947400,2478.570068359375,2484.800048828125,2430.25,2430.39990234375,4075680000,169.48968886138192,171.11203328162168,168.026611328125,168.026611328125,53704400
2024-04-05,182.3800048828125,186.27000427246094,181.97000122070312,185.07000732421875,42335200,149.31611992588236,152.6899888823038,148.8881732587718,151.7743682861328,23449300,416.8276673390752,423.2784179752705,415.1504697507563,422.2958984375,16544300,147.30434201092876,148.2538758330544,146.8973989443035,147.6531524658203,6778100,2437.3701171875,2468.93994140625,2435.6201171875,2459.300048828125,3386780000,168.79298281447828,169.5892261323792,168.15599119757314,168.7830352783203,42055200
2024-04-08,186.89999389648438,187.2899932861328,184.80999755859375,185.19000244140625,39221300,152.0530320036405,154.53118940622207,151.88384272998078,154.11318969726562,20702000,421.9485777283347,424.0425761054586,420.09272093696904,421.3729553222656,14272400,147.26561193755856,148.2829623505465,146.84897018919472,146.87803649902344,5935400,2462.77001953125,2466.449951171875,2453.010009765625,2456.6201171875,3278180000,168.23561647794648,168.40481571452685,167.4493358859462,167.65834045410156,37425500
2024-04-09,187.24000549316406,187.33999633789062,184.1999969482422,185.6699981689453,36546900,155.3472906145229,157.80553910227465,154.4515790592109,155.85487365722656,31113000,423.20896224870864,424.4991003259259,418.4254750382327,423.0501708984375,12512300,146.83928572865352,147.78881967620364,146.2482461238079,147.5562744140625,6135600,2463.52001953125,2466.2099609375,2434.81005859375,2458.830078125,3400680000,167.90716183961618,169.2806811483862,167.55881583801002,168.8726043701172,42451200
2024-04-10,182.77000427246094,186.27000427246094,182.6699981689453,185.9499969482422,35879200,155.46672316327985,155.86481379575542,153.9439892879095,155.3970489501953,22838600,418.99116993330387,420.81722505973426,416.5200457584293,420.0530700683594,16216600,146.8198952779229,147.10088930246025,145.1049091760442,145.53123474121094,6809500,2439.830078125,2447.7099609375,2430.409912109375,2441.590087890625,3845930000,168.0066808175879,168.2953112001811,166.32462100940634,166.99147033691406,49709300
2024-04-11,186.74000549316406,189.77000427246094,185.50999450683594,189.0500030517578,40020700,156.16338491032602,158.92019359328873,155.7155291650152,158.6514892578125,27166400,422.5936541739285,426.1167444183971,419.15984809671994,424.6876525878906,17966400,146.1125856078212,146.1804020630268,143.77749370285446,144.16505432128906,8374400,2448.27001953125,2472.7099609375,2433.010009765625,2467.760009765625,3509380000,167.54885233902874,174.63540094951088,167.36970557110288,174.2173614501953,91070300
2024-04-12,187.72000122070312,188.3800048828125,185.0800018310547,186.1300048828125,38554300,157.20840874623565,159.4576498521726,156.39230314278245,156.9794921875,25329200,420.83704242845164,421.9584854811625,416.58947237839413,418.7033386230469,19232100,143.45776341766157,144.43637846828804,142.57604592326254,142.93455505371094,7097500,2454.360107421875,2456.6201171875,2425.590087890625,2432.830078125,3963220000,173.44102962389059,177.52176704196785,173.39127675717174,175.72027587890625,101593300
2024-04-15,187.42999267578125,188.69000244140625,183.0,183.6199951171875,48052400,158.1041210913814,158.48231785442226,153.85443413456358,154.12315368652344,27136500,423.36774724307367,423.5860815606245,410.2975202475589,410.5059509277344,20273500,143.7581187066662,144.8433151067548,142.78920232574214,143.0023651123047,8502300,2443.56005859375,2453.64990234375,2397.969970703125,2401.320068359375,3950210000,174.53586805138283,175.7999037342719,171.68930847441092,171.87841796875,73531800
2024-04-16,183.27000427246094,184.8300018310547,182.25999450683594,183.32000732421875,32891300,153.45633670421336,154.9093812386726,152.6999432114734,153.6653289794922,20779500,411.42887810136665,415.2298454910269,410.5952462785095,411.43878173828125,16765600,140.502551716882,141.7040132887207,138.93291199302834,139.9599609375,12774900,2403.340087890625,2412.10009765625,2391.8798828125,2397.840087890625,4006200000,170.94284143183614,172.94338974194338,167.47920033817573,168.583984375,73711200
2024-04-17,184.30999755859375,184.57000732421875,179.82000732421875,181.27999877929688,31359700,154.8795200598381,156.33257973226392,153.84447529646815,154.73023986816406,21763100,414.08855629342435,415.7062108618487,407.22097481991534,408.71954345703125,15855500,140.49286614478805,140.89012538354396,139.0782418149823,140.27001953125,9378100,2407.489990234375,2413.52001953125,2376.14990234375,2383.5400390625,3596130000,168.81289870293196,169.84800441976404,167.21046447753906,167.21046447753906,50901200
2024-04-18,181.47000122070312,182.38999938964844,178.64999389648438,179.22000122070312,30723800,154.6008594858019,156.19325246003623,153.88428416601494,155.26766967773438,19883000,407.5187363707615,408.76919927263555,400.88935677884103,401.2069091796875,21029900,140.47346834243646,141.26798673320593,138.68098222008288,141.20985412597656,9887700,2387.260009765625,2400.6298828125,2374.659912109375,2378.639892578125,3619760000,167.24032724180861,167.847461101441,165.7672868824189,166.25497436523438,43122900
2024-04-19,178.74000549316406,179.0,173.44000244140625,174.6300048828125,55950000,155.45675694613493,155.61599926941918,151.5753202297304,153.35679626464844,32239100,400.9687488676842,402.4077746386735,394.7561698730406,396.095947265625,30276500,141.60712143431485,143.52558649002216,140.04716548863854,143.3124237060547,9747700,2373.179931640625,2379.030029296875,2341.360107421875,2348.679931640625,3878750000,165.42886837664992,165.6179626751691,163.30887389276177,164.22454833984375,67772100
